id,identifier,sid,mcat,scat,etc,english,kanji,japanese,keyword1,keyword2,keyword3,cost,description,ready,rare
46,tamago,SN045,Sushi,Nigiri,Nigiri (other),sweet egg roll,玉子,玉子,nigiri,,,,coming soon…,OK,no
47,negitoro,SG001,Sushi,Gunkan,Gunkan (fish),tuna belly and green onion,ネギトロ,ネギトロ,,,,,coming soon…,OK,no
48,ikura,SG002,Sushi,Gunkan,Gunkan (fish),salmon roe,イクラ,イクラ,,,,,coming soon…,OK,no
49,uni,SG003,Sushi,Gunkan,Gunkan (fish),sea urchin roe,雲丹,雲丹,,,,,coming soon…,OK,no
50,shirasu,SG004,Sushi,Gunkan,Gunkan (fish),baby sardine,しらす,しらす,,,,,coming soon…,OK,no
51,shirako,SG005,Sushi,Gunkan,Gunkan (fish),cod sperm,白子,白子,,,,,coming soon…,OK,RARE
52,yukke,SG006,Sushi,Gunkan,Gunkan (fish),chopped tuna,ユッケ,ユッケ,,,,,coming soon…,OK,no
53,kujira,SG007,Sushi,Gunkan,Gunkan (fish),whale,鯨,鯨,,,,,coming soon…,OK,RARE
54,sazae,SG008,Sushi,Gunkan,Gunkan (shell),horned turban shell,栄螺,栄螺,,,,,coming soon…,OK,RARE
55,kani miso,SG009,Sushi,Gunkan,Gunkan (crab),crab brain,蟹味噌,蟹味噌,,,,,coming soon…,OK,no
56,ebi mayo,SG010,Sushi,Gunkan,Gunkan (shrimp),shrimp mayonnaise,海老マヨ,海老マヨ,,,,,coming soon…,OK,no
57,natto,SG011,Sushi,Gunkan,Gunkan (vegetable),natto,納豆,納豆,,,,,coming soon…,OK,no
58,ume,SG012,Sushi,Gunkan,Gunkan (vegetable),japanese plum,梅,梅,,,,,coming soon…,OK,no
59,corn,SG013,Sushi,Gunkan,Gunkan (vegetable),corn,コーン,コーン,,,,,coming soon…,OK,no
60,tuna salad,SG014,Sushi,Gunkan,Salad,tuna salad,ツナサラダ,ツナサラダ,,,,,coming soon…,OK,no
61,avocado salad,SG015,Sushi,Gunkan,Salad,avocado salad,アボカドサラダ,アボカドサラダ,,,,,coming soon…,OK,no
62,tekka maki,SM001,Sushi,Makimono,,tuna roll,鉄火巻き,鉄火巻き,,,,,coming soon…,OK,no
63,kappa maki,SM002,Sushi,Makimono,,cucumber roll,かっぱ巻き,かっぱ巻き,,,,,coming soon…,OK,no
64,natto maki,SM003,Sushi,Makimono,,fermented-soybean roll,納豆巻き,納豆巻き,,sticky,,,coming soon…,OK,no
